year,individual_ID,snake_season,sex,reproductive_class,location_ID,date,woody_debris,ground_layer_veg,shrub_layer,rock_cover,canopy_cover,prob_density_ind,volume_contour_ind,prob_density_pop,volume_contour_pop
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-01,2016-06-17,20,54,20,60,38,0.000144839,89.4345308,8.28291E-06,35.87354235
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-02,2016-06-19,20,54,20,60,44,0.00014827,90.73844575,8.06862E-06,34.9454346
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-03,2016-06-20,20,54,20,60,44,0.000127033,82.32900808,7.33057E-06,31.74892281
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-04,2016-06-22,20,54,20,60,41,0.000144839,89.4345308,8.28291E-06,35.87354235
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-05,2016-06-24,20,54,80,0,27,0.000100258,66.67185358,5.04548E-06,21.85214052
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-06,2016-06-26,20,54,60,0,36,8.23992E-05,54.16221887,4.15579E-06,17.99886812
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-07,2016-06-27,20,54,80,0,30,0.000105476,70.00496174,4.76527E-06,20.63852241
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-08,2016-06-29,20,54,20,0,41,5.29538E-05,32.88196466,1.02534E-05,44.40781247
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-09,2016-07-01,20,54,10,0,43,0.000150268,91.29068386,1.67119E-05,72.37965114
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-10,2016-07-03,80,20,80,10,88,0.000101304,67.32694763,1.10282E-05,47.76365793
2016,AGCO_03,2016_AGCO_03,FEMALE,NGR,2016-03-11,2016-07-06,90,0,10,90,76,8.14045E-05,53.35987846,1.4314E-05,61.99454214
